User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAXTXUVRD474TOBDHC,2021-01-15T08:17:00Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],b85f7f52-4c2b-4779-830b-4b7f4eacfab5,fd12556e-0951-46e3-8701-47605a5ea370,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:10:56Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",54ac2fbf-4477-4091-bd0e-38675853620e,9d492ad7-0c08-4d0e-8f16-56d892a690db,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:10:55Z,iam.amazonaws.com,AddUserToGroup,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",cb9de4d1-13cd-4db6-bb3b-867bca071795,4b97d609-a93b-4841-9371-bd291fa132a2,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:10:55Z,iam.amazonaws.com,CreateUser,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXTXUVRD4SG45KWVPM""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::523425384697:user/CloudTrail""}]",31623289-ec26-49ee-9d2d-e32a77e81a2b,9f2e1a80-c9dc-4095-b508-c39786d9af9c,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:09:56Z,iam.amazonaws.com,CreateGroup,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::523425384697:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXTXUVRD47H7ZVOU62""}]",2acfacca-3c0f-40a4-9e1b-36c2a77c537e,7796ef48-e238-4fed-a17b-f0987df6b1c5,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:09:56Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",be8755f0-f099-4fef-9a8e-0538e0873d7d,879ac13c-f19f-480c-a6bb-fb738173e8e8,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:09:35Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",33499182-285e-4b38-8ab7-e4892831c790,1c94eb93-8d7a-4ced-b989-26a3a13b8f92,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:09:34Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",4ecb0f10-665f-4a09-8851-f907afcd323f,17ee0a75-4bda-43f0-b90b-b91093c80962,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:09:34Z,iam.amazonaws.com,CreateGroup,us-east-1,188.24.22.115,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXTXUVRD44ADKPKCGL""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::523425384697:group/CloudTrailAdmins""}]",f655e30d-5a93-4b55-a3ca-92b9709901d8,c750eace-8164-4263-b793-9851026eb540,false,AwsApiCall,523425384697,Management
root,ASIAXTXUVRD4WAL7OV77,2021-01-15T08:05:05Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,188.24.22.115,console.amazonaws.com,,[],dcb57fd9-f381-4820-b6cf-55503c239bd0,9efbc9c2-daff-445d-9617-9daf5d2eee7c,false,AwsApiCall,523425384697,Management
root,,2021-01-15T08:03:13Z,signin.amazonaws.com,ConsoleLogin,us-east-1,188.24.22.115,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,2a1bf9a7-4f23-42fe-85e5-62dd933dde7e,false,AwsConsoleSignIn,523425384697,Management
